positive,negative,label
10.99,-15.530,1
1.77,-2.58,1
11.05,-8.49,0
116.370,-69.810,1
11.48,-3.20,1
4.68,-4.00,1
5.91,-4.11,0
180.850,-80.860,0
10.330,-9.78,0
10.29,-18.74,0
259.670,-91.510,1
11.90,-1.03,1
26.26,-3.31,1
21.77,-8.04,1
8.52,-5.61,0
40.96,-25.83,1
11.27,-3.09,0
6.010,-1.80,1
1.60,-2.57,1
20.260,-14.370,0
22.790,-13.97,0
35.850,-42.24,1
33.910,-11.72,1
42.030,-55.630,0
18.05,-1.50,1
103.920,-44.630,1
60.86,-26.330,1
59.32,-38.85,1
9.66,-5.59,0
27.26,-11.480,1
17.97,-6.860,0
11.04,-4.42,1
60.090,-38.810,0
18.180,-22.66,0
39.870,-21.25,0
22.39,-22.76,1
14.28,-12.43,0
47.97,-27.770,1
62.83,-61.460,0
11.46,-11.32,0
25.32,-23.490,0
8.46,-3.010,0
48.440,-17.52,1
208.54,-69.350,1
68.140,-36.21,1
74.31,-22.870,1
10.50,-2.640,1
51.00,-12.99,0
21.76,-20.160,0
126.380,-126.670,0
14.070,-8.66,1
17.980,-6.28,0
37.66,-24.62,0
52.190,-32.86,0
15.41,-9.07,0
18.91,-36.51,0
12.40,-2.87,1
9.35,-2.71,1
327.730,-132.320,1
31.88,-28.890,1
16.960,-9.700,0
3.05,-6.34,0
45.29,-21.630,1
23.420,-30.24,0
9.81,-13.070,0
68.07,-38.660,1
28.61,-25.100,0
22.06,-24.14,0
4.10,-9.37,0
53.250,-28.85,0
31.77,-19.08,0
7.85,-6.37,0
114.24,-62.39,0
0.70,-10.45,0
8.090,-12.500,0
13.670,-7.12,0
18.87,-13.02,1
7.86,-4.94,1
75.400,-39.730,0
23.77,-32.52,0
11.62,-1.00,1
38.09,-25.73,0
10.68,-8.01,0
26.73,-4.350,1
47.50,-25.63,0
1.73,-2.92,1
11.910,-3.22,0
5.57,-4.25,1
57.170,-53.360,0
32.23,-11.20,1
37.68,-36.50,0
30.07,-18.39,1
58.080,-40.96,0
21.150,-13.10,1
3.70,-3.000,1
